1305538003.842000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538027.156000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538039.418000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538065.952000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538065.952000, thegatewaylogger, ERROR, utils, authentication_factory, 88, RiverIDAuthenticationProvider
1305538116.073000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538116.074000, thegatewaylogger, ERROR, utils, authentication_factory, 88, RiverIDAuthenticationProvider
1305538139.648000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538139.650000, thegatewaylogger, ERROR, utils, authentication_factory, 88, RiverIDAuthenticationProvider
1305538139.650000, thegatewaylogger, ERROR, utils, authenticate, 103, stage2
1305538158.845000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538158.846000, thegatewaylogger, ERROR, utils, authentication_factory, 88, RiverIDAuthenticationProvider
1305538158.846000, thegatewaylogger, ERROR, utils, authenticate, 103, stage2
1305538158.847000, thegatewaylogger, ERROR, utils, authenticate, 126, stage3
1305538191.279000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538191.280000, thegatewaylogger, ERROR, utils, authentication_factory, 88, RiverIDAuthenticationProvider
1305538191.280000, thegatewaylogger, ERROR, utils, authenticate, 103, stage2
1305538191.283000, thegatewaylogger, ERROR, utils, authenticate, 126, stage3
1305538209.136000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538209.136000, thegatewaylogger, ERROR, utils, authentication_factory, 88, RiverIDAuthenticationProvider
1305538209.137000, thegatewaylogger, ERROR, utils, authenticate, 103, stage2
1305538209.138000, thegatewaylogger, ERROR, utils, authenticate, 126, stage3
1305538209.139000, thegatewaylogger, ERROR, utils, authenticate, 128, stage4
1305538234.802000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538234.803000, thegatewaylogger, ERROR, utils, authentication_factory, 88, RiverIDAuthenticationProvider
1305538234.803000, thegatewaylogger, ERROR, utils, authenticate, 103, stage2
1305538234.804000, thegatewaylogger, ERROR, utils, authenticate, 126, stage3
1305538234.805000, thegatewaylogger, ERROR, utils, authenticate, 128, http://localhost:5000/thegateway/validatecredentials
1305538339.713000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538339.713000, thegatewaylogger, ERROR, utils, authentication_factory, 88, RiverIDAuthenticationProvider
1305538339.713000, thegatewaylogger, ERROR, utils, authenticate, 103, stage2
1305538339.713000, thegatewaylogger, ERROR, utils, authenticate, 126, stage3
1305538339.713000, thegatewaylogger, ERROR, utils, authenticate, 128, http://localhost:5000/thegateway/validatecredentials
1305538409.035000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538409.035000, thegatewaylogger, ERROR, utils, authentication_factory, 88, RiverIDAuthenticationProvider
1305538409.035000, thegatewaylogger, ERROR, utils, authenticate, 103, stage2
1305538409.045000, thegatewaylogger, ERROR, utils, authenticate, 126, stage3
1305538409.045000, thegatewaylogger, ERROR, utils, authenticate, 128, http://local.riverid.com/thegateway/validatecredentials
1305538410.551000, thegatewaylogger, ERROR, utils, authenticate, 140, HTTP ERROR, |HTTP Error 404: Not Found|
1305538437.593000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538437.593000, thegatewaylogger, ERROR, utils, authentication_factory, 88, RiverIDAuthenticationProvider
1305538437.593000, thegatewaylogger, ERROR, utils, authenticate, 103, stage2
1305538437.594000, thegatewaylogger, ERROR, utils, authenticate, 126, stage3
1305538437.595000, thegatewaylogger, ERROR, utils, authenticate, 128, http://local.riverid.com/thegateway/validatecredentials
1305538438.467000, thegatewaylogger, ERROR, utils, authenticate, 140, HTTP ERROR, |HTTP Error 404: Not Found|
1305538448.869000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538448.869000, thegatewaylogger, ERROR, utils, authentication_factory, 88, MockAuthenticationProvider
1305538453.160000, thegatewaylogger, ERROR, utils, authentication_factory, 86, stage1
1305538453.160000, thegatewaylogger, ERROR, utils, authentication_factory, 88, MockAuthenticationProvider
